# 어절\t어절의 분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
것이다.	것/NNB+이/VCP+다/EF+./SF
"그런데	"/SS+그런데/MAJ
상승하여	상승/NNG+하/XSV+아/EC
학문에	학문/NNG+에/JKB
비판하고	비판/NNG+하/XSV+고/EC
조속히	조속히/MAG
말하면,	말/NNG+하/XSV+면/EC+,/SP
결정적	결정/NNG+적/XSN
나라에서도	나라/NNG+에서/JKB+도/JX
검토해	검토/NNG+하/XSV+아/EC
제재를	제재/NNG+를/JKO
첫째로	첫째/NR+로/JKB
확대를	확대/NNG+를/JKO
노력에	노력/NNG+에/JKB
정하는	정하/VV+는/ETM
비판이	비판/NNG+이/JKS
무작정	무/XPN+작정/NNG
처음엔	처음/NNG+에/JKB+ㄴ/JX
활기를	활기/NNG+를/JKO
겪어야	겪/VV+어야/EC
신청을	신청/NNG+을/JKO
돌아오지	돌아오/VV+지/EC
확대,	확대/NNG+,/SP
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
존재할	존재/NNG+하/XSV+ㄹ/ETM
96.01.18	96/SN+./SF+01/SN+./SF+18/SN
96.01.15	96/SN+./SF+01/SN+./SF+15/SN
말하면서	말/NNG+하/XSV+면서/EC
96.01.10	96/SN+./SF+01/SN+./SF+10/SN
찾아서	찾/VV+아서/EC
않고도	않/VX+고/EC+도/JX
얘기하는	얘기/NNG+하/XSV+는/ETM
美	美/SH
크기의	크기/NNG+의/JKG
글	글/NNG
관	관/NNG
[그	[/SS+그/MM
1개	1/SN+개/NNB
주부들이	주부/NNG+들/XSN+이/JKS
웬	웬/MM
정보화의	정보/NNG+화/XSN+의/JKG
받들어	받들/VV+어/EC
툭	툭/MAG
사람들이다.	사람/NNG+들/XSN+이/VCP+다/EF+./SF
인터넷이	인터넷/NNG+이/JKS
경상수지	경상/NNG+수지/NNG
인간으로	인간/NNG+으로/JKB
자기들의	자기/NP+들/XSN+의/JKG
끝없이	끝없이/MAG
걸린다.	걸리/VV+ㄴ다/EF+./SF
정상에	정상/NNG+에/JKB
86년	86/SN+년/NNB
11시	11/SN+시/NNB
70년	70/SN+년/NNB
정의를	정의/NNG+를/JKO
성격에	성격/NNG+에/JKB
아래에	아래/NNG+에/JKB
사물의	사물/NNG+의/JKG
일으켰다.	일으키/VV+었/EP+다/EF+./SF
일방적	일방/NNG+적/XSN
유용한	유용/XR+하/XSA+ㄴ/ETM
남다른	남다르/VA+ㄴ/ETM
건물을	건물/NNG+을/JKO
민심을	민심/NNG+을/JKO
고려하여	고려/NNG+하/XSV+아/EC
가정에	가정/NNG+에/JKB
방식의	방식/NNG+의/JKG
원하지	원하/VV+지/EC
각오를	각오/NNG+를/JKO
의심할	의심/NNG+하/XSV+ㄹ/ETM
의심을	의심/NNG+을/JKO
차리고	차리/VV+고/EC
비슷하게	비슷/XR+하/XSA+게/EC
방안도	방안/NNG+도/JX
생각되는	생각/NNG+되/XSV+는/ETM
속한다.	속하/VV+ㄴ다/EF+./SF
음식은	음식/NNG+은/JX
이어진	이어지/VV+ㄴ/ETM
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF
가뜩이나	가뜩이나/MAG
반응은	반응/NNG+은/JX
동향을	동향/NNG+을/JKO
박차를	박차/NNG+를/JKO
지켜보고	지켜보/VV+고/EC
취급하는	취급/NNG+하/XSV+는/ETM
입으로	입/NNG+으로/JKB
내포하고	내포/NNG+하/XSV+고/EC
좋아하지	좋아하/VV+지/EC
흔적이	흔적/NNG+이/JKS
이웃을	이웃/NNG+을/JKO
탓이다.	탓/NNG+이/VCP+다/EF+./SF
이것도	이것/NP+도/JX
오해를	오해/NNG+를/JKO
대회는	대회/NNG+는/JX
포함된다.	포함/NNG+되/XSV+ㄴ다/EF+./SF
대화와	대화/NNG+와/JC
이곳은	이곳/NP+은/JX
인구는	인구/NNG+는/JX
소요되는	소요/NNG+되/XSV+는/ETM
꾸려	꾸리/VV+어/EC
유럽에	유럽/NNP+에/JKB
기관	기관/NNG
미흡한	미흡/XR+하/XSA+ㄴ/ETM
거래	거래/NNG
공공	공공/NNG
강제	강제/NNG
외국어	외국어/NNG
가릴	가리/VV+ㄹ/ETM
상품의	상품/NNG+의/JKG
엄연한	엄연/XR+하/XSA+ㄴ/ETM
도장을	도장/NNG+을/JKO
성장에	성장/NNG+에/JKB
요구할	요구/NNG+하/XSV+ㄹ/ETM
올해부터	올해/NNG+부터/JX
조선후기	조선/NNP+후기/NNG
이라크	이라크/NNP
인력을	인력/NNG+을/JKO
영어로	영어/NNP+로/JKB
일관되게	일관/XR+되/XSV+게/EC
여유를	여유/NNG+를/JKO
속도를	속도/NNG+를/JKO
영국,	영국/NNP+,/SP
노골적으로	노골/XR+적/XSN+으로/JKB
돌아온다.	돌아오/VV+ㄴ다/EF+./SF
비롯	비롯/XR
없는데	없/VA+는데/EC
일반이론을	일반/NNG+이론/NNG+을/JKO
소프트웨어를	소프트웨어/NNG+를/JKO
내려갔다.	내려가/VV+았/EP+다/EF+./SF
믿어지지	믿/VV+어/EC+지/VX+지/EC
어떻든	어떻든/MAG
발행	발행/NNG
에너지	에너지/NNG
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
발생	발생/NNG
변해	변하/VV+아/EC
본질을	본질/NNG+을/JKO
OECD	OECD/SL
부도	부도/NNG
늘려	늘리/VV+어/EC
영국은	영국/NNP+은/JX
생생한	생생/XR+하/XSA+ㄴ/ETM
문제들이	문제/NNG+들/XSN+이/JKS
대출	대출/NNG
자기에게	자기/NP+에게/JKB
선배는	선배/NNG+는/JX
나만	나/NP+만/JX
분명했다.	분명/XR+하/XSA+았/EP+다/EF+./SF
낳을	낳/VV+을/ETM
농민	농민/NNG
왔으나	오/VX+았/EP+으나/EC
넘은	넘/VV+은/ETM
연평균	연평균/NNG
놀라	놀라/VV+아/EC
사람이었다.	사람/NNG+이/VCP+었/EP+다/EF+./SF
분석한	분석/NNG+하/XSV+ㄴ/ETM
환자의	환자/NNG+의/JKG
칼로	칼/NNG+로/JKB
벌인다.	벌이/VV+ㄴ다/EF+./SF
비참한	비참/NNG+하/XSA+ㄴ/ETM
하늘에서	하늘/NNG+에서/JKB
체육	체육/NNG
후보로	후보/NNG+로/JKB
학문하는	학문/NNG+하/XSV+는/ETM
구조조정이	구조/NNG+조정/NNG+이/JKS
직접적으로	직접/NNG+적/XSN+으로/JKB
통일된	통일/NNG+되/XSV+ㄴ/ETM
기업들은	기업/NNG+들/XSN+은/JX
기타의	기타/NNG+의/JKG
회사를	회사/NNG+를/JKO
확인된	확인/NNG+되/XSV+ㄴ/ETM
때와는	때/NNG+와/JKB+는/JX
아홉	아홉/NR
애는	애/NNG+는/JX
양국	양국/NNG
실수를	실수/NNG+를/JKO
어깨	어깨/NNG
야구	야구/NNG
쓰기	쓰/VV+기/ETN
입학	입학/NNG
학교에서는	학교/NNG+에서/JKB+는/JX
임금	임금/NNG
의대	의대/NNG
열흘	열흘/NNG
확신을	확신/NNG+을/JKO
정보화사회에서	정보/NNG+화/XSN+사회/NNG+에서/JKB
성인	성인/NNG
선교	선교/NNG
사용	사용/NNG
사제	사제/NNG
스무	스무/MM
사실이라면	사실/NNG+이/VCP+라면/EC
깨달은	깨닫/VV+은/ETM
불편을	불편/NNG+을/JKO
농촌의	농촌/NNG+의/JKG
깨닫고	깨닫/VV+고/EC
지배를	지배/NNG+를/JKO
되어서는	되/VV+어서/EC+는/JX
자발적으로	자발/NNG+적/XSN+으로/JKB
피어	피/VV+어/EC
후반	후반/NNG
험한	험하/VA+ㄴ/ETM
부진한	부진/NNG+하/XSA+ㄴ/ETM
그릇을	그릇/NNG+을/JKO
대가로	대가/NNG+로/JKB
명백한	명백/XR+하/XSA+ㄴ/ETM
태워	태우/VV+어/EC
대개의	대개/NNG+의/JKG
크지	크/VA+지/EC
부정을	부정/NNG+을/JKO
틈이	틈/NNG+이/JKS
틈을	틈/NNG+을/JKO
모두의	모두/NNG+의/JKG
패트	패트/NNP
시계를	시계/NNG+를/JKO
나타낸다.	나타내/VV+ㄴ다/EF+./SF
日本	日本/SH
핵심을	핵심/NNG+을/JKO
실패한	실패/NNG+하/XSV+ㄴ/ETM
무너지고	무너지/VV+고/EC
규모로	규모/NNG+로/JKB
과학을	과학/NNG+을/JKO
극도로	극도/NNG+로/JKB
한국시리즈에서	한국시리즈/NNP+에서/JKB
모임을	모임/NNG+을/JKO
16세기	16/SN+세기/NNG
이어지고	이어지/VV+고/EC
다름없는	다름없/VA+는/ETM
죽어서	죽/VV+어서/EC
줄이는	줄이/VV+는/ETM
그간의	그간/NNG+의/JKG
되었지.	되/VV+었/EP+지/EF+./SF
금융시장의	금융/NNG+시장/NNG+의/JKG
노력해야	노력/NNG+하/XSV+아야/EC
생각해서	생각/NNG+하/XSV+아서/EC
싸우고	싸우/VV+고/EC
민주당의	민주당/NNP+의/JKG
결정은	결정/NNG+은/JX
궁금한	궁금/XR+하/XSA+ㄴ/ETM
준비하는	준비/NNG+하/XSV+는/ETM
남조선	남조선/NNP
나라들은	나라/NNG+들/XSN+은/JX
스티브	스티브/NNP
반영하고	반영/NNG+하/XSV+고/EC
어렵다고	어렵/VA+다고/EC
혼례를	혼례/NNG+를/JKO
절차에	절차/NNG+에/JKB
거느리고	거느리/VV+고/EC
조사가	조사/NNG+가/JKS
관세음	관세음/NNP
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF
논리로	논리/NNG+로/JKB
현명한	현명/NNG+하/XSA+ㄴ/ETM
물음에	물음/NNG+에/JKB
자리잡은	자리/NNG+잡/VV+은/ETM
관련되어	관련/NNG+되/XSV+어/EC
무엇에	무엇/NP+에/JKB
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
96.01.22	96/SN+./SF+01/SN+./SF+22/SN
96.01.23	96/SN+./SF+01/SN+./SF+23/SN
것처럼,	것/NNB+처럼/JKB+,/SP
95	95/SN
KS	KS/SL
크기는	크기/NNG+는/JX
강력하게	강력/XR+하/XSA+게/EC
詩를	詩/SH+를/JKO
잊혀지지	잊히/VV+어/EC+지/VX+지/EC
참신한	참신/XR+하/XSA+ㄴ/ETM
전통적으로	전통/NNG+적/XSN+으로/JKB
의미있는	의미/NNG+있/VV+는/ETM
[너	[/SS+너/NP
"너	"/SS+너/NP
처벌을	처벌/NNG+을/JKO
외	외/NNB
4백	4/SN+백/NR
나아갈	나아가/VV+ㄹ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF
한나라당	한나라당/NNP
상대의	상대/NNG+의/JKG
떠나야	떠나/VV+아야/EC
문학은	문학/NNG+은/JX
재판을	재판/NNG+을/JKO
CD롬	CD/SL+롬/NNG
판단된다.	판단/NNG+되/XSV+ㄴ다/EF+./SF
겉으로는	겉/NNG+으로/JKB+는/JX
선거는	선거/NNG+는/JX
나무로	나무/NNG+로/JKB
청년이	청년/NNG+이/JKS
생각한다면	생각/NNG+하/XSV+ㄴ다면/EC
얘기도	얘기/NNG+도/JX
장래에	장래/NNG+에/JKB
의사는	의사/NNG+는/JX
하나에	하나/NR+에/JKB
무엇이든지	무엇/NP+이/VCP+든지/EC
믿었던	믿/VV+었/EP+던/ETM
"민아,	"/SS+민/NNP+아/JKV+,/SP
輸入은	輸入/SH+은/JX
희생을	희생/NNG+을/JKO
가자고	가/VV+자고/EC
위해,	위하/VV+아/EC+,/SP
거래를	거래/NNG+를/JKO
없어졌다.	없/VA+어/EC+지/VX+었/EP+다/EF+./SF
분위기는	분위기/NNG+는/JX
의자에	의자/NNG+에/JKB
관념이	관념/NNG+이/JKS
배워야	배우/VV+어야/EC
저렴한	저렴/XR+하/XSA+ㄴ/ETM
새삼스럽게	새삼/MAG+스럽/XSA+게/EC
같지는	같/VA+지/EC+는/JX
설치하고	설치/NNG+하/XSV+고/EC
재배하고	재배/NNG+하/XSV+고/EC
경쟁력이	경쟁력/NNG+이/JKS
없어,	없/VA+어/EC+,/SP
밝혀져	밝히/VV+어/EC+지/VX+어/EC
대하는	대하/VV+는/ETM
오후에	오후/NNG+에/JKB
1981년	1981/SN+년/NNB
전년도보다	전년도/NNG+보다/JKB
글자	글자/NNG
구축	구축/NNG
오르면	오르/VV+면/EC
윤리적	윤리/NNG+적/XSN
광고	광고/NNG
거센	거세/VA+ㄴ/ETM
의도를	의도/NNG+를/JKO
아리스토텔레스	아리스토텔레스/NNP
가히	가히/MAG
걸로	것/NNB+로/JKB
공간	공간/NNG
강은	강/NNG+은/JX
각급	각급/NNG
지난해보다	지난해/NNG+보다/JKB
아주머니가	아주머니/NNG+가/JKS
프랑스,	프랑스/NNP+,/SP
체계적으로	체계/NNG+적/XSN+으로/JKB
작년에	작년/NNG+에/JKB
위에는	위/NNG+에/JKB+는/JX
도시를	도시/NNG+를/JKO
이름도	이름/NNG+도/JX
무대	무대/NNG
태어나서	태어나/VV+아서/EC
모신	모시/VV+ㄴ/ETM
먹여	먹이/VV+어/EC
사랑하고	사랑/NNG+하/XSV+고/EC
붙들고	붙들/VV+고/EC
미국과의	미국/NNP+과/JKB+의/JKG
무릎	무릎/NNG
사람들에게는	사람/NNG+들/XSN+에게/JKB+는/JX
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
어느덧	어느덧/MAG
요리를	요리/NNG+를/JKO
맡기고	맡기/VV+고/EC
반쯤	반/NNG+쯤/NNB
북경	북경/NNP
않으며,	않/VX+으며/EC+,/SP
만나서	만나/VV+아서/EC
어디를	어디/NP+를/JKO
만나러	만나/VV+러/EC
발사	발사/NNG
소개한	소개/NNG+하/XSV+ㄴ/ETM
닦고	닦/VV+고/EC
덮고	덮/VV+고/EC
당면	당면/NNG
넘겨	넘기/VV+어/EC
내며	내/VV+며/EC
안이한	안이/XR+하/XSA+ㄴ/ETM
소나무	소나무/NNG
하나하나	하나하나/MAG
돌며	돌/VV+며/EC
던진	던지/VV+ㄴ/ETM
뒷날	뒷날/NNG
우산을	우산/NNG+을/JKO
들러	들르/VV+어/EC
떼를	떼/NNG+를/JKO
김일성이	김일성/NNP+이/JKS
신문의	신문/NNG+의/JKG
초대	초대/NNG
총을	총/NNG+을/JKO
초반	초반/NNG
태국	태국/NNP
신라의	신라/NNP+의/JKG
시련을	시련/NNG+을/JKO
대다수	대다수/NNG
지정된	지정/NNG+되/XSV+ㄴ/ETM
진정	진정/MAG
진작	진작/MAG
기반으로	기반/NNG+으로/JKB
줄여	줄이/VV+어/EC
짙게	짙/VA+게/EC
처녀	처녀/NNG
청년	청년/NNG
중요성이	중요/XR+성/XSN+이/JKS
안정	안정/NNG
알면	알/VV+면/EC
작용하고	작용/NNG+하/XSV+고/EC
전북	전북/NNP
조국	조국/NNG
입이	입/NNG+이/JKS
따위는	따위/NNB+는/JX
인물	인물/NNG
요한	요한/NNP
음력	음력/NNG
영향	영향/NNG
뷰캐넌	뷰캐넌/NNP
쉬는	쉬/VV+는/ETM
성서	성서/NNG
섞인	섞이/VV+ㄴ/ETM
섞어	섞/VV+어/EC
셈이	셈/NNB+이/JKC
기여한	기여/NNG+하/XSV+ㄴ/ETM
강요하는	강요/NNG+하/XSV+는/ETM
활발히	활발히/MAG
맞는다.	맞/VV+는다/EF+./SF
싸운	싸우/VV+ㄴ/ETM
속한	속하/VV+ㄴ/ETM
증상이	증상/NNG+이/JKS
들어가게	들어가/VV+게/EC
흘리며	흘리/VV+며/EC
의구심을	의구심/NNG+을/JKO
무시하는	무시/NNG+하/XSV+는/ETM
치르고	치르/VV+고/EC
시현하였다.	시현/NNG+하/XSV+았/EP+다/EF+./SF
집단을	집단/NNG+을/JKO
뚜껑을	뚜껑/NNG+을/JKO
합의	합의/NNG
아닐까.	아니/VCN+ㄹ까/EF+./SF
하락	하락/NNG
한글	한글/NNG
현직	현직/NNG
시대로	시대/NNG+로/JKB
질서의	질서/NNG+의/JKG
기다릴	기다리/VV+ㄹ/ETM
출신으로	출신/NNG+으로/JKB
근로자의	근로자/NNG+의/JKG
늘리는	늘리/VV+는/ETM
소희는	소희/NNP+는/JX
금리를	금리/NNG+를/JKO
팀의	팀/NNG+의/JKG
귀여운	귀엽/VA+ㄴ/ETM
신경이	신경/NNG+이/JKS
폭력	폭력/NNG
호구는	호구/NNG+는/JX
모습도	모습/NNG+도/JX
남아있는	남/VV+아/EC+있/VX+는/ETM
경험적	경험/NNG+적/XSN
명성을	명성/NNG+을/JKO
체험을	체험/NNG+을/JKO
것이기도	것/NNB+이/VCP+기/ETN+도/JX
공화국	공화국/NNG
쏠리고	쏠리/VV+고/EC
엄격하게	엄격/XR+하/XSA+게/EC
구멍이	구멍/NNG+이/JKS
누르고	누르/VV+고/EC
지니게	지니/VV+게/EC
학생들	학생/NNG+들/XSN
논쟁이	논쟁/NNG+이/JKS
24시간	24/SN+시간/NNG
걱정하는	걱정/NNG+하/XSV+는/ETM
것인가,	것/NNB+이/VCP+ㄴ가/EC+,/SP
청산하고	청산/NNG+하/XSV+고/EC
싶었던	싶/VX+었/EP+던/ETM
괴로운	괴롭/VA+ㄴ/ETM
민주당은	민주당/NNP+은/JX
헤어져	헤어지/VV+어/EC
제치고	제치/VV+고/EC
골자로	골자/NNG+로/JKB
금융기관을	금융/NNG+기관/NNG+을/JKO
천주교	천주교/NNG
보였으나	보이/VV+었/EP+으나/EC
거기에서	거기/NP+에서/JKB
혼례의	혼례/NNG+의/JKG
병원에서	병원/NNG+에서/JKB
활동의	활동/NNG+의/JKG
관섭은	관섭/NNP+은/JX
시장은	시장/NNG+은/JX
그때부터	그때/NNG+부터/JX
격차가	격차/NNG+가/JKS
그때마다	그때/NNG+마다/JX
허용하지	허용/NNG+하/XSV+지/EC
여기저기서	여기저기/NNG+서/JKB
주먹을	주먹/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
존재는	존재/NNG+는/JX
2,	2/SN+,/SP
10	10/SN
받는다는	받/VV+는다는/ETM
⑥	⑥/SW
쓰러져	쓰러지/VV+어/EC
물체는	물체/NNG+는/JX
상반된	상반/NNG+되/XSV+ㄴ/ETM
아들에게	아들/NNG+에게/JKB
보여주었다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF
자유의	자유/NNG+의/JKG
낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
바다로	바다/NNG+로/JKB
상상할	상상/NNG+하/XSV+ㄹ/ETM
(4)	(/SS+4/SN+)/SS
상세히	상세히/MAG
놀	놀/VV+ㄹ/ETM
뚝	뚝/MAG
띤	띠/VV+ㄴ/ETM
쳐	치/VV+어/EC
6시	6/SN+시/NNB
평화의	평화/NNG+의/JKG
애	애/NNG
왕	왕/NNG
2호	2/SN+호/NNB
8회	8/SN+회/NNB
2층	2/SN+층/NNG
팀	팀/NNG
아끼지	아끼/VV+지/EC
손가락을	손가락/NNG+을/JKO
자체도	자체/NNG+도/JX
나선다.	나서/VV+ㄴ다/EF+./SF
눈치였다.	눈치/NNG+이/VCP+었/EP+다/EF+./SF
전씨의	전/NNP+씨/NNB+의/JKG
이혼을	이혼/NNG+을/JKO
MBC	MBC/SL
감사를	감사/NNG+를/JKO
확실하다.	확실/XR+하/XSA+다/EF+./SF
점에서도	점/NNB+에서/JKB+도/JX
들으며	듣/VV+으며/EC
때문.	때문/NNB+./SF
빠졌다.	빠지/VV+었/EP+다/EF+./SF
탔다.	타/VV+았/EP+다/EF+./SF
따르지	따르/VV+지/EC
갈리아	갈리아/NNP
방문한	방문/NNG+하/XSV+ㄴ/ETM
사물을	사물/NNG+을/JKO
정씨는	정/NNP+씨/NNB+는/JX
주도하는	주도/NNG+하/XSV+는/ETM
유익한	유익/XR+하/XSA+ㄴ/ETM
상관이	상관/NNG+이/JKS
자료로	자료/NNG+로/JKB
밖에도	밖/NNG+에/JKB+도/JX
선고,	선고/NNG+,/SP
접근을	접근/NNG+을/JKO
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF
충실하게	충실/NNG+하/XSA+게/EC
보다.	보/VX+다/EF+./SF
개개인의	개개인/NNG+의/JKG
반영한	반영/NNG+하/XSV+ㄴ/ETM
강세를	강세/NNG+를/JKO
나뉘어	나뉘/VV+어/EC
이뤄져야	이루어지/VV+어야/EC
거액의	거액/NNG+의/JKG
가파른	가파르/VA+ㄴ/ETM
하나라도	하나/NR+이/VCP+라도/EC
비슷하다.	비슷/XR+하/XSA+다/EF+./SF
번번이	번번이/MAG
익숙한	익숙/XR+하/XSA+ㄴ/ETM
주인공은	주인공/NNG+은/JX
인정할	인정/NNG+하/XSV+ㄹ/ETM
해결의	해결/NNG+의/JKG
인재를	인재/NNG+를/JKO
정치적으로	정치/NNG+적/XSN+으로/JKB
우습게	우습/VA+게/EC
도서관	도서관/NNG
수창이는	수창이/NNP+는/JX
독자적으로	독자/NNG+적/XSN+으로/JKB
배타적	배타/NNG+적/XSN
극명하게	극명/XR+하/XSA+게/EC
시급하다.	시급/XR+하/XSA+다/EF+./SF
인간적	인간/NNG+적/XSN
화숙이는	화숙이/NNP+는/JX
때문이기도	때문/NNB+이/VCP+기/ETN+도/JX
꼴을	꼴/NNG+을/JKO
올해의	올해/NNG+의/JKG
등,	등/NNB+,/SP
범죄를	범죄/NNG+를/JKO
구성	구성/NNG
유력한	유력/XR+하/XSA+ㄴ/ETM
깨고	깨/VV+고/EC
곳의	곳/NNG+의/JKG
발표를	발표/NNG+를/JKO
구분	구분/NNG
공천	공천/NNG
걱정	걱정/NNG
각계	각계/NNG
요청을	요청/NNG+을/JKO
간접적으로	간접/NNG+적/XSN+으로/JKB
연설을	연설/NNG+을/JKO
없어도	없/VA+어도/EC
위세를	위세/NNG+를/JKO
소박한	소박/XR+하/XSA+ㄴ/ETM
자녀가	자녀/NNG+가/JKS
의례가	의례/NNG+가/JKS
부근의	부근/NNG+의/JKG
중요하게	중요/XR+하/XSA+게/EC
들어오지	들어오/VV+지/EC
동생은	동생/NNG+은/JX
가리키는	가리키/VV+는/ETM
金融機關의	金融機關/SH+의/JKG
위에다	위/NNG+에다/JKB
이루지	이루/VV+지/EC
맥이	맥/NNG+이/JKS
선수를	선수/NNG+를/JKO
문자	문자/NNG
생존을	생존/NNG+을/JKO
여성들은	여성/NNG+들/XSN+은/JX
서슴지	서슴/VV+지/EC
먹기	먹/VV+기/ETN
본연의	본연/NNG+의/JKG
다음달	다음/NNG+달/NNG
분향	분향/NNG
뻗어	뻗/VV+어/EC
소리쳤다.	소리치/VV+었/EP+다/EF+./SF
부모에	부모/NNG+에/JKB
방이	방/NNG+이/JKS
번의	번/NNB+의/JKG
식구들이	식구/NNG+들/XSN+이/JKS
만나기	만나/VV+기/ETN
미스	미스/NNG
연구소	연구소/NNG
여권을	여권/NNG+을/JKO
밀어	밀/VV+어/EC
부실	부실/NNG
부디	부디/MAG
가르치고	가르치/VV+고/EC
되었으며,	되/VV+었/EP+으며/EC+,/SP
대표되는	대표/NNG+되/XSV+는/ETM
설립된	설립/NNG+되/XSV+ㄴ/ETM
손가락	손가락/NNG
산에서	산/NNG+에서/JKB
대처할	대처/NNG+하/XSV+ㄹ/ETM
나눈	나누/VV+ㄴ/ETM
년을	년/NNB+을/JKO
불안감을	불안감/NNG+을/JKO
아저씨	아저씨/NNG
어머니도	어머니/NNG+도/JX
라는	이/VCP+라는/ETM
유대를	유대/NNG+를/JKO
확인해	확인/NNG+하/XSV+아/EC
지식인의	지식인/NNG+의/JKG
평가하고	평가/NNG+하/XSV+고/EC
화장을	화장/NNG+을/JKO
특검제	특검/NNG+제/XSN
참지	참/VV+지/EC
김정일	김정일/NNP
비치는	비치/VV+는/ETM
지난해말	지난해/NNG+말/NNB
저희	저희/NP
중앙은행이	중앙은행/NNG+이/JKS
투명한	투명/NNG+하/XSA+ㄴ/ETM
향하는	향하/VV+는/ETM
연봉	연봉/NNG
아빠	아빠/NNG
안동	안동/NNP
금융의	금융/NNG+의/JKG
재정	재정/NNG
글짓기	글짓기/NNG
신세대	신/XPN+세대/NNG
시설이	시설/NNG+이/JKS
들려왔다.	들려오/VV+았/EP+다/EF+./SF
장관	장관/NNG
잠겨	잠기/VV+어/EC
보통이다.	보통/NNG+이/VCP+다/EF+./SF
식사가	식사/NNG+가/JKS
우뚝	우뚝/MAG
얽혀	얽히/VV+어/EC
소주	소주/NNG
성격	성격/NNG
사설	사설/NNG
김씨가	김/NNP+씨/NNB+가/JKS
비상한	비상/NNG+하/XSA+ㄴ/ETM
생각해야	생각/NNG+하/XSV+아야/EC
사람들에	사람/NNG+들/XSN+에/JKB
신체	신체/NNG
속해	속하/VV+아/EC
프로그램은	프로그램/NNG+은/JX
구태여	구태여/MAG
판단에	판단/NNG+에/JKB
기르는	기르/VV+는/ETM
올라가서	올라가/VV+아서/EC
한국통신은	한국통신/NNP+은/JX
진리의	진리/NNG+의/JKG
입었다.	입/VV+었/EP+다/EF+./SF
느끼며	느끼/VV+며/EC
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
프로야구	프로/NNG+야구/NNG
되었는데,	되/VV+었/EP+는데/EC+,/SP
유도하는	유도/NNG+하/XSV+는/ETM
국민회의와	국민회의/NNP+와/JC
3학년	3/SN+학년/NNG
머물고	머물/VV+고/EC
한을	한/NNG+을/JKO
{우리	{/SS+우리/NP
구입한	구입/NNG+하/XSV+ㄴ/ETM
확인	확인/NNG
규모에	규모/NNG+에/JKB
관행을	관행/NNG+을/JKO
흔들어	흔들/VV+어/EC
관계자들은	관계자/NNG+들/XSN+은/JX
붙이고	붙이/VV+고/EC
모두를	모두/NNG+를/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF
택시	택시/NNG
마치면	마치/VV+면/EC
기록된	기록/NNG+되/XSV+ㄴ/ETM
어른들은	어른/NNG+들/XSN+은/JX
판단	판단/NNG
올바르게	올바르/VA+게/EC
아버지,	아버지/NNG+,/SP
96.02.27	96/SN+./SF+02/SN+./SF+27/SN
추진해야	추진/NNG+하/XSV+아야/EC
무너진	무너지/VV+ㄴ/ETM
드러나는	드러나/VV+는/ETM
오늘날에도	오늘날/NNG+에/JKB+도/JX
누구의	누구/NP+의/JKG
되었으며	되/VV+었/EP+으며/EC
의존하는	의존/NNG+하/XSV+는/ETM
주고받는	주고받/VV+는/ETM
물가는	물가/NNG+는/JX
규모를	규모/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF
추상적인	추상/NNG+적/XSN+이/VCP+ㄴ/ETM
하나같이	하나/NR+같이/JKB
과일을	과일/NNG+을/JKO
뒤따라야	뒤따르/VV+아야/EC
과정의	과정/NNG+의/JKG
영달이는	영달이/NNP+는/JX
구성,	구성/NNG+,/SP
2·4분기중	2/SN+·/SP+4/SN+분기/NNG+중/NNB
한국은행은	한국은행/NNP+은/JX
지구를	지구/NNG+를/JKO
다가오는	다가오/VV+는/ETM
근거한	근거/NNG+하/XSV+ㄴ/ETM
허균은	허균/NNP+은/JX
승용차를	승용차/NNG+를/JKO
싸우는	싸우/VV+는/ETM
조사에	조사/NNG+에/JKB
조사해	조사/NNG+하/XSV+아/EC
적용하는	적용/NNG+하/XSV+는/ETM
뜻밖에도	뜻밖에/MAG+도/JX
실질적	실질/NNG+적/XSN
강하다.	강하/VA+다/EF+./SF
거기에다	거기/NP+에다/JKB
나타낼	나타내/VV+ㄹ/ETM
제의를	제의/NNG+를/JKO
태평양	태평양/NNP
어머니께서	어머니/NNG+께서/JKS
없는데도	없/VA+는데/EC+도/JX
시절을	시절/NNG+을/JKO
조직은	조직/NNG+은/JX
발견한	발견/NNG+하/XSV+ㄴ/ETM
도와주는	도와주/VV+는/ETM
초래할	초래/NNG+하/XSV+ㄹ/ETM
물의를	물의/NNG+를/JKO
거의가	거의/NNG+가/JKS
